ApplicationName,Cpu,Gpu,Mem
idle-power,0.4445295535714287,0.153,1.1186475000000002
cuda-lane-detection,1.6426738181692428,1.5054228680361033,1.2630514965245359
darknet-ros,0.7988437688366486,7.620866335141651,2.7363586121157324
floam,2.497908687258687,0.46,1.340338864221364
hybrid-astar,2.0362139523809524,0.4600000000000001,1.504071349206349
jetson-inference,1.3005150913900916,1.7429808902517234,1.6296397907647908
kalman-filter,2.428984539023277,0.46377476038338666,1.180938783660429
lane-detection,0.7199568380164322,0.4600000000000001,1.1445953372683078
lanenet-lane-detection,1.942328674818321,1.635151871175177,1.4616434123398356
openMVG,4.389385839802817,0.4596651187742606,1.5382999608186174
