sample_id,timestamp,GPU_freq_set,power_cpu_w,power_gpu_w,power_mem_w,total_cpu_time_s,total_mem_access,total-llc-misses
52,0.00,1300,1.698,1.37,1.269,0.006,453032,0.00972
53,0.05,1300,1.764,1.282,1.2717142857142858,0.052,43844356,1.90422
54,0.10,1300,1.754125,1.294375,1.285625,0.063,44062013,0.05974
55,0.15,1300,1.6872857142857145,1.37,1.269,0.028,20831017,0.01986
56,0.20,1300,1.7205714285714286,1.282,1.2717142857142858,0.0859999999999999,66828086,1.92582
57,0.25,1300,1.687,1.342375,1.2771428571428571,0.001,400142,0.04358
58,0.30,1300,1.6105714285714288,1.3808571428571428,1.269,0.0539999999999999,50464434,2.22172
59,0.35,1300,1.644,1.271,1.269,0.03,11270167,0.26732
60,0.40,1300,1.655,1.304,1.269,0.055,34328985,0.06658
61,0.45,1300,1.5725,1.4027142857142858,1.269,0.002,402853,0.01966
62,0.50,1300,1.655,1.275125,1.269,0.11,87727322,1.99166
63,0.55,1300,1.622,1.358857142857143,1.269,0.002,389318,0.04336
64,0.60,1300,1.567,1.3808571428571428,1.269,0.006,2082500,0.02654
65,0.65,1300,1.6495,1.28475,1.269,0.1119999999999999,83177943,0.0548
66,0.70,1300,1.6,1.3807142857142858,1.269,0.002,439205,0.01676
67,0.75,1300,1.601375,1.3808571428571428,1.269,0.016,9446045,0.01058
68,0.80,1300,1.688,1.294375,1.276125,0.108,77917734,0.04182
69,0.85,1300,1.6327142857142858,1.4134285714285713,1.269,0.009,3864988,0.00986
70,0.90,1300,1.622,1.359,1.269,0.016,13149265,0.01352
71,0.95,1300,1.71625,1.294375,1.27375,0.099,68999573,0.01734
72,1.00,1300,1.619625,1.4135714285714287,1.269,0.006,381095,0.01
73,1.05,1300,1.621714285714286,1.3425,1.269,0.0249999999999999,23045778,0.01986
74,1.10,1300,1.665,1.326,1.269,0.083,65191317,1.92618
75,1.15,1300,1.56275,1.419,1.269,0.001,439298,0.04838
76,1.21,1300,1.6366666666666667,1.3425,1.260857142857143,0.052,39906996,0.05556
77,1.25,1300,1.665,1.337,1.2717142857142858,0.0609999999999999,45882168,0.01868
78,1.31,1300,1.610625,1.4285,1.269,0.005,428610,0.01344
79,1.36,1300,1.655,1.326,1.269,0.1019999999999999,87243385,1.88782
80,1.41,1300,1.633,1.3807142857142858,1.2744285714285712,0.004,387588,0.04448
81,1.46,1300,1.582125,1.419,1.269,0.002,908170,0.03724
82,1.51,1300,1.6658571428571427,1.315,1.2717142857142858,0.1149999999999999,86808725,0.05218
83,1.56,1300,1.632,1.4025714285714286,1.269,0.007,484516,0.0155
84,1.61,1300,1.611,1.4095,1.269,0.012,8026206,0.01572
85,1.66,1300,1.6875714285714287,1.315,1.269,0.104,77810854,0.02048
86,1.71,1300,1.632,1.4352857142857145,1.269,0.005,415932,0.01542
87,1.76,1300,1.6366666666666667,1.4063333333333332,1.269,0.019,17855565,0.01596
88,1.81,1300,1.716375,1.32325,1.269,0.097,68147318,0.01316
89,1.86,1300,1.630125,1.4461428571428572,1.269,0.006,857551,0.01112
90,1.91,1300,1.688,1.390375,1.266625,0.0419999999999999,39918487,0.50404
91,1.96,1300,1.6987142857142858,1.3807142857142858,1.269,0.0759999999999999,60286036,0.28292
92,2.01,1300,1.611,1.479,1.258142857142857,0.0089999999999999,574409,0.04124
93,2.06,1300,1.6685,1.3808571428571428,1.2527142857142857,0.0589999999999999,44884475,0.05042
94,2.11,1300,1.654,1.39025,1.261875,0.0609999999999999,42327623,0.01504
95,2.16,1300,1.6102857142857143,1.479,1.25,0.003,393275,0.00964
96,2.21,1300,1.659,1.36175,1.2595,0.104,87507872,1.68832
97,2.26,1300,1.5775714285714286,1.4572857142857143,1.2554285714285711,0.003,414906,0.06098
98,2.31,1300,1.562875,1.4571428571428573,1.25,0.008,4419659,0.01184
99,2.36,1300,1.6437142857142857,1.371375,1.2595,0.101,80939845,0.05028
100,2.41,1300,1.5558571428571428,1.501,1.25,0.006,457459,0.02154
101,2.46,1300,1.588857142857143,1.4352857142857145,1.25,0.019,15090953,0.0098
